,scientific_name,park_name,observations,category,conservation_status
103,Viburnum edule,Yosemite National Park,136,Vascular Plant,
104,Platanthera obtusata,Great Smoky Mountains National Park,116,Vascular Plant,
105,Pseudacris maculata,Bryce National Park,109,Amphibian,
106,Chasmanthium sessiliflorum,Yellowstone National Park,257,Vascular Plant,
107,Dichanthelium acuminatum var. acuminatum,Yosemite National Park,123,Vascular Plant,Species of Concern
108,Osmorhiza berteroi,Yellowstone National Park,263,Vascular Plant,
109,Hackelia nervosa,Yosemite National Park,168,Vascular Plant,
110,Poa sylvestris,Bryce National Park,118,Vascular Plant,
111,Amorpha fruticosa,Yellowstone National Park,258,Vascular Plant,
112,Rumex obtusifolius,Great Smoky Mountains National Park,27,Vascular Plant,
113,Clarkia rhomboidea,Great Smoky Mountains National Park,92,Vascular Plant,
114,Berberis canadensis,Great Smoky Mountains National Park,74,Vascular Plant,
115,Poa bolanderi,Yosemite National Park,135,Vascular Plant,
116,Zonotrichia atricapilla,Bryce National Park,94,Bird,
117,Pinus,Bryce National Park,94,Vascular Plant,
118,Potentilla fruticosa,Bryce National Park,71,Vascular Plant,
119,Melanerpes erythrocephalus,Great Smoky Mountains National Park,84,Bird,
120,Digitaria violascens,Yosemite National Park,132,Vascular Plant,
121,Phacelia egena,Yellowstone National Park,282,Vascular Plant,
122,Atrichum oerstedianum,Great Smoky Mountains National Park,74,Nonvascular Plant,
123,Pinus lambertiana,Bryce National Park,116,Vascular Plant,
124,Thalictrum alpinum,Bryce National Park,110,Vascular Plant,
125,Jeffersonia diphylla,Yellowstone National Park,258,Vascular Plant,
126,Triosteum perfoliatum,Yellowstone National Park,257,Vascular Plant,
127,Vaccinium parvifolium,Yellowstone National Park,253,Vascular Plant,
128,Sematophyllum demissum,Bryce National Park,109,Nonvascular Plant,
129,Phlox stolonifera,Yellowstone National Park,247,Vascular Plant,
130,Cryptantha muricata,Yellowstone National Park,267,Vascular Plant,
131,Pseudoroegneria spicata,Yosemite National Park,156,Vascular Plant,
132,Prosartes maculatum,Great Smoky Mountains National Park,105,Vascular Plant,
133,Cuscuta compacta,Yosemite National Park,140,Vascular Plant,
134,Salix farriae,Bryce National Park,108,Vascular Plant,
135,Coreopsis tripteris,Bryce National Park,86,Vascular Plant,
136,Vermivora celata,Yosemite National Park,106,Bird,
137,Malus angustifolia,Great Smoky Mountains National Park,71,Vascular Plant,
138,Cyanocitta stelleri,Yellowstone National Park,230,Bird,
139,Platanthera dilatata var. dilatata,Yellowstone National Park,257,Vascular Plant,
140,Cheilanthes intertexta,Yosemite National Park,124,Vascular Plant,
141,Carex lenticularis var. lipocarpa,Bryce National Park,112,Vascular Plant,
142,Floerkea proserpinacoides,Yosemite National Park,131,Vascular Plant,
143,Juncus effusus var. solutus,Yosemite National Park,131,Vascular Plant,
144,Thelypodium sagittatum,Yosemite National Park,164,Vascular Plant,
145,Lychnis coronaria,Yellowstone National Park,260,Vascular Plant,
146,Carduelis tristis,Bryce National Park,110,Bird,
147,Cicuta douglasii,Bryce National Park,119,Vascular Plant,
148,Melanthium latifolium,Yosemite National Park,167,Vascular Plant,
149,Lespedeza procumbens,Yellowstone National Park,233,Vascular Plant,
150,Juncus ensifolius var. montanus,Bryce National Park,83,Vascular Plant,
151,Osmorhiza depauperata,Great Smoky Mountains National Park,67,Vascular Plant,
152,Cucumis melo,Bryce National Park,80,Vascular Plant,
153,Viola blanda var. blanda,Yellowstone National Park,245,Vascular Plant,
154,Ajuga reptans,Great Smoky Mountains National Park,60,Vascular Plant,
155,Ranunculus pusillus,Great Smoky Mountains National Park,82,Vascular Plant,
156,Taraxacum ceratophorum,Yosemite National Park,151,Vascular Plant,
157,Oxytropis parryi,Great Smoky Mountains National Park,66,Vascular Plant,
158,Cynosurus echinatus,Bryce National Park,75,Vascular Plant,
159,Platanthera stricta,Bryce National Park,76,Vascular Plant,
160,Dodecatheon subalpinum,Yellowstone National Park,206,Vascular Plant,
161,Rumex paucifolius,Great Smoky Mountains National Park,86,Vascular Plant,
162,Cyperus pseudovegetus,Bryce National Park,108,Vascular Plant,
163,Malus coronaria,Great Smoky Mountains National Park,75,Vascular Plant,
164,Hieracium piloselloides,Bryce National Park,77,Vascular Plant,
165,Dichanthelium dichotomum var. dichotomum,Yellowstone National Park,242,Vascular Plant,
166,Bidens aristosa,Bryce National Park,111,Vascular Plant,
167,Rugelia nudicaulis,Yosemite National Park,120,Vascular Plant,Species of Concern
168,Iva annua,Great Smoky Mountains National Park,70,Vascular Plant,
169,Bromus suksdorfii,Yellowstone National Park,243,Vascular Plant,
170,Taenidia integerrima,Bryce National Park,114,Vascular Plant,
171,Symphyotrichum spathulatum,Bryce National Park,110,Vascular Plant,
172,Heterotheca villosa var. villosa,Yellowstone National Park,276,Vascular Plant,
173,Viburnum lentago,Great Smoky Mountains National Park,74,Vascular Plant,
174,Saxifraga subapetala,Yellowstone National Park,265,Vascular Plant,
175,Helianthella quinquenervis,Yellowstone National Park,237,Vascular Plant,
176,Pteridium aquilinum var. latiusculum,Great Smoky Mountains National Park,29,Vascular Plant,
177,Carex preslii,Great Smoky Mountains National Park,25,Vascular Plant,
178,Pellaea breweri,Great Smoky Mountains National Park,73,Vascular Plant,
179,Houstonia longifolia var. longifolia,Yellowstone National Park,254,Vascular Plant,
180,Nandina domestica,Yellowstone National Park,220,Vascular Plant,
181,Aix sponsa,Yosemite National Park,152,Bird,
182,Iris missouriensis,Yosemite National Park,127,Vascular Plant,Species of Concern
183,Rigiopappus leptocladus,Yellowstone National Park,266,Vascular Plant,
184,Ericameria cuneata var. cuneata,Yosemite National Park,166,Vascular Plant,
185,Juncus marginatus,Great Smoky Mountains National Park,53,Vascular Plant,
186,Carex jamesii,Great Smoky Mountains National Park,117,Vascular Plant,
187,Carex gracillima,Yellowstone National Park,240,Vascular Plant,
188,Crotalus viridis viridis,Great Smoky Mountains National Park,55,Reptile,
189,Penstemon procerus,Yellowstone National Park,215,Vascular Plant,
190,Thaspium trifoliatum var. aureum,Yosemite National Park,125,Vascular Plant,
191,Leucobryum glaucum,Bryce National Park,89,Nonvascular Plant,
192,Empidonax difficilis,Yellowstone National Park,261,Bird,
193,Sonchus oleraceus,Bryce National Park,99,Vascular Plant,
194,Stizostedion vitreum,Great Smoky Mountains National Park,108,Fish,
195,Heterocladium macounii,Great Smoky Mountains National Park,110,Nonvascular Plant,
196,Stizostedion canadense,Bryce National Park,76,Fish,
197,Chasmanthium sessiliflorum,Great Smoky Mountains National Park,70,Vascular Plant,
198,Setophaga dominica,Yosemite National Park,140,Bird,
199,Desmodium paniculatum var. paniculatum,Yellowstone National Park,206,Vascular Plant,
200,Sayornis nigricans,Yosemite National Park,128,Bird,
201,Logfia arvensis,Yosemite National Park,154,Vascular Plant,
202,Sambucus mexicana,Yellowstone National Park,232,Vascular Plant,
203,Gratiola viscidula,Great Smoky Mountains National Park,107,Vascular Plant,
204,Populus alba,Yellowstone National Park,251,Vascular Plant,
205,Galium obtusum,Yosemite National Park,114,Vascular Plant,
206,Rosa setigera,Yosemite National Park,135,Vascular Plant,
207,Cercocarpus betuloides var. betuloides,Yellowstone National Park,269,Vascular Plant,
208,Opuntia fragilis,Great Smoky Mountains National Park,57,Vascular Plant,
209,Smallanthus uvedalius,Bryce National Park,91,Vascular Plant,
210,Silene stellata,Bryce National Park,98,Vascular Plant,
211,Richardsonius balteatus,Yosemite National Park,163,Fish,
212,Panicum rigidulum var. elongatum,Bryce National Park,93,Vascular Plant,
213,Eriogonum prattenianum var. prattenianum,Yosemite National Park,143,Vascular Plant,
214,Doellingeria infirma,Great Smoky Mountains National Park,68,Vascular Plant,
215,Agoseris aurantiaca,Yellowstone National Park,241,Vascular Plant,
216,Verbena hastata,Yosemite National Park,122,Vascular Plant,
217,Aster patens var. patens,Yellowstone National Park,230,Vascular Plant,
218,Elymus glaucus ssp. glaucus,Bryce National Park,70,Vascular Plant,
219,Fleischmannia incarnata,Bryce National Park,96,Vascular Plant,
220,Sialia sialis,Great Smoky Mountains National Park,69,Bird,
221,Scolochloa festucacea,Bryce National Park,97,Vascular Plant,
222,Elymus hystrix var. hystrix,Yosemite National Park,166,Vascular Plant,
223,Sarracenia purpurea,Yellowstone National Park,235,Vascular Plant,
224,Eriogonum ovalifolium var. nivale,Bryce National Park,149,Vascular Plant,
225,Sedum sarmentosum,Great Smoky Mountains National Park,56,Vascular Plant,
226,Brachydontium trichodes,Yosemite National Park,141,Nonvascular Plant,
227,Geranium dissectum,Great Smoky Mountains National Park,119,Vascular Plant,
228,Typha angustifolia,Bryce National Park,77,Vascular Plant,
229,Prunus hortulana,Yosemite National Park,147,Vascular Plant,
230,Ranunculus acris,Yosemite National Park,142,Vascular Plant,
231,Eurybia chlorolepis,Yellowstone National Park,216,Vascular Plant,
232,Sphenopholis pensylvanica,Great Smoky Mountains National Park,49,Vascular Plant,
233,Circaea alpina,Bryce National Park,114,Vascular Plant,
234,Erigenia bulbosa,Bryce National Park,124,Vascular Plant,
235,Senecio streptanthifolius,Great Smoky Mountains National Park,69,Vascular Plant,
236,Lasiurus blossevillii,Bryce National Park,113,Mammal,Species of Concern
237,Astragalus alpinus,Great Smoky Mountains National Park,82,Vascular Plant,
238,Crataegus uniflora,Great Smoky Mountains National Park,91,Vascular Plant,
239,Streptopus lanceolatus var. roseus,Bryce National Park,99,Vascular Plant,
240,Lycopus asper,Yellowstone National Park,283,Vascular Plant,
241,Symphyotrichum retroflexum,Yosemite National Park,163,Vascular Plant,
242,Ericameria cuneata var. cuneata,Bryce National Park,100,Vascular Plant,
243,Mimulus laciniatus,Yellowstone National Park,239,Vascular Plant,
244,Senecio clarkianus,Yosemite National Park,157,Vascular Plant,
245,Saccharum alopecuroidum,Yosemite National Park,145,Vascular Plant,
246,Picoides borealis,Yosemite National Park,43,Bird,Endangered
247,Lepidium ramosissimum,Bryce National Park,91,Vascular Plant,
248,Plagiomnium ciliare,Bryce National Park,108,Nonvascular Plant,
249,Amelanchier utahensis,Great Smoky Mountains National Park,66,Vascular Plant,
250,Allium campanulatum,Yellowstone National Park,234,Vascular Plant,
251,Carex integra,Yellowstone National Park,258,Vascular Plant,
252,Castilleja lacera,Yellowstone National Park,230,Vascular Plant,
253,Collomia heterophylla,Great Smoky Mountains National Park,49,Vascular Plant,
254,Anemone occidentalis,Yosemite National Park,148,Vascular Plant,
255,Senecio aureus,Yosemite National Park,153,Vascular Plant,
256,Astragalus congdonii,Yellowstone National Park,230,Vascular Plant,
257,Carex,Bryce National Park,80,Vascular Plant,
258,Lysimachia hybrida,Yellowstone National Park,246,Vascular Plant,
259,Quercus michauxii,Bryce National Park,131,Vascular Plant,
260,Uvularia perfoliata,Great Smoky Mountains National Park,79,Vascular Plant,
261,Thalictrum fendleri,Yosemite National Park,146,Vascular Plant,
262,Epilobium lactiflorum,Yellowstone National Park,239,Vascular Plant,
263,Poecile atricapillus,Great Smoky Mountains National Park,97,Bird,
264,Helmitheros vermivorus,Yellowstone National Park,291,Bird,
265,Sequoiadendron giganteum,Yosemite National Park,141,Vascular Plant,
266,Ditrichum pusillum,Yosemite National Park,160,Nonvascular Plant,
267,Viburnum lantana,Yellowstone National Park,245,Vascular Plant,
268,Ailanthus altissima,Bryce National Park,73,Vascular Plant,
269,Salix bebbiana,Bryce National Park,86,Vascular Plant,
270,Townsendia parryi,Bryce National Park,70,Vascular Plant,
271,Corynorhinus rafinesquii,Yosemite National Park,188,Mammal,
272,Lespedeza hirta,Bryce National Park,106,Vascular Plant,
273,Neckera pennata,Bryce National Park,115,Nonvascular Plant,
274,Ageratina occidentalis,Yellowstone National Park,246,Vascular Plant,
275,Baeolophus inornatus,Bryce National Park,97,Bird,
276,Ribes cynosbati,Yellowstone National Park,237,Vascular Plant,
277,Krascheninnikovia lanata,Yosemite National Park,151,Vascular Plant,
278,Lonicera involucrata,Yosemite National Park,129,Vascular Plant,
279,Pluvialis dominica,Bryce National Park,111,Bird,
280,Equisetum scirpoides,Yellowstone National Park,227,Vascular Plant,
281,Spizella pallida,Yellowstone National Park,258,Bird,
282,Hemitremia flammea,Yellowstone National Park,251,Fish,Species of Concern
283,Fabronia ciliaris var. polycarpa,Yellowstone National Park,264,Nonvascular Plant,
284,Elymus trachycaulus ssp. subsecundus,Yosemite National Park,146,Vascular Plant,
285,Erigeron peregrinus var. hirsutus,Yosemite National Park,125,Vascular Plant,
286,Eriogonum umbellatum var. nevadense,Great Smoky Mountains National Park,63,Vascular Plant,
287,Mimulus viscidus,Yosemite National Park,192,Vascular Plant,
288,Juncus orthophyllus,Great Smoky Mountains National Park,77,Vascular Plant,
289,Limosa fedoa,Yellowstone National Park,266,Bird,Species of Concern
290,Juncus uncialis,Great Smoky Mountains National Park,97,Vascular Plant,
291,Fabronia ciliaris,Bryce National Park,111,Nonvascular Plant,
292,Thaspium barbinode,Great Smoky Mountains National Park,95,Vascular Plant,
293,Polystichum scopulinum,Great Smoky Mountains National Park,54,Vascular Plant,
294,Comandra umbellata,Yosemite National Park,145,Vascular Plant,
295,Carex stipata,Bryce National Park,101,Vascular Plant,
296,Ribes aureum var. aureum,Yosemite National Park,139,Vascular Plant,
297,Allophyllum gilioides ssp. gilioides,Great Smoky Mountains National Park,54,Vascular Plant,
298,Ulmus alata,Yosemite National Park,144,Vascular Plant,
299,Mephitis mephitis,Yellowstone National Park,257,Mammal,
300,Rudbeckia fulgida var. fulgida,Yosemite National Park,151,Vascular Plant,
301,Arnica discoidea,Yosemite National Park,153,Vascular Plant,
302,Geum triflorum,Yellowstone National Park,234,Vascular Plant,
303,Draba oligosperma,Great Smoky Mountains National Park,34,Vascular Plant,
304,Cleistes divaricata,Yellowstone National Park,236,Vascular Plant,
305,Tamias quadrimaculatus,Yellowstone National Park,261,Mammal,
306,Hedysarum sulphurescens,Yosemite National Park,143,Vascular Plant,
307,Polypodium hesperium,Great Smoky Mountains National Park,68,Vascular Plant,
308,Galium boreale,Yellowstone National Park,252,Vascular Plant,
309,Hosta lancifolia,Bryce National Park,125,Vascular Plant,
310,Trillium catesbaei,Bryce National Park,94,Vascular Plant,
311,Larus californicus,Yosemite National Park,136,Bird,
312,Rana draytonii,Great Smoky Mountains National Park,43,Amphibian,Threatened
313,Fontinalis sullivantii,Bryce National Park,97,Nonvascular Plant,
314,Clematis occidentalis var. grosseserrata,Yellowstone National Park,247,Vascular Plant,
315,Anemone occidentalis,Great Smoky Mountains National Park,82,Vascular Plant,
316,Anemone patens var. multifida,Great Smoky Mountains National Park,94,Vascular Plant,
317,Diervilla sessilifolia,Great Smoky Mountains National Park,81,Vascular Plant,
318,Pohlia annotina,Great Smoky Mountains National Park,84,Nonvascular Plant,
319,Astomum muehlenbergianum,Great Smoky Mountains National Park,115,Nonvascular Plant,
320,Aster patens var. patens,Yosemite National Park,132,Vascular Plant,
321,Limnothlypis swainsonii,Great Smoky Mountains National Park,56,Bird,
322,Arabis repanda var. greenei,Great Smoky Mountains National Park,78,Vascular Plant,
323,Brachyelytrum septentrionale,Yellowstone National Park,247,Vascular Plant,
324,Packera aurea,Great Smoky Mountains National Park,71,Vascular Plant,
325,Delphinium gracilentum,Great Smoky Mountains National Park,75,Vascular Plant,
326,Carex debilis var. interjecta,Yellowstone National Park,239,Vascular Plant,
327,Myriophyllum sibiricum,Yosemite National Park,176,Vascular Plant,
328,Eriophyllum nubigenum,Yosemite National Park,118,Vascular Plant,Species of Concern
329,Cryptantha ambigua,Yosemite National Park,159,Vascular Plant,
330,Epilobium glaberrimum ssp. glaberrimum,Great Smoky Mountains National Park,72,Vascular Plant,
331,Sorbus sitchensis var. grayi,Yosemite National Park,153,Vascular Plant,
332,Valeriana occidentalis,Yosemite National Park,154,Vascular Plant,
333,Mimulus moschatus,Yosemite National Park,139,Vascular Plant,
334,Orthocarpus luteus,Bryce National Park,78,Vascular Plant,
335,Hoita macrostachya,Yellowstone National Park,263,Vascular Plant,
336,Polytrichum piliferum,Bryce National Park,110,Nonvascular Plant,
337,Notropis volucellus,Bryce National Park,69,Fish,
338,Poa sylvestris,Yosemite National Park,115,Vascular Plant,
339,Artemisia vulgaris,Great Smoky Mountains National Park,86,Vascular Plant,
340,Smilax tamnoides,Yosemite National Park,132,Vascular Plant,
341,Erigeron compactus,Yosemite National Park,148,Vascular Plant,
342,Clarkia purpurea ssp. viminea,Yosemite National Park,157,Vascular Plant,
343,Carex stipata var. stipata,Yosemite National Park,174,Vascular Plant,
344,Tortella humilis,Bryce National Park,54,Nonvascular Plant,
345,Liriodendron tulipifera,Yosemite National Park,148,Vascular Plant,
346,Sanicula bipinnatifida,Bryce National Park,105,Vascular Plant,
347,Packera werneriifolia,Great Smoky Mountains National Park,45,Vascular Plant,
348,Pinicola enucleator,Yosemite National Park,149,Bird,
349,Potamogeton strictifolius,Great Smoky Mountains National Park,58,Vascular Plant,
350,Desmognathus wrighti,Yellowstone National Park,201,Amphibian,Species of Concern
351,Bryum lisae,Bryce National Park,155,Nonvascular Plant,
352,Holosteum umbellatum,Yosemite National Park,142,Vascular Plant,
353,Lolium arundinaceum,Yellowstone National Park,247,Vascular Plant,
354,Carex aggregata,Yellowstone National Park,279,Vascular Plant,
355,Cirsium undulatum,Great Smoky Mountains National Park,84,Vascular Plant,
356,Helenium flexuosum,Yosemite National Park,133,Vascular Plant,
357,Aythya affinis,Great Smoky Mountains National Park,115,Bird,Species of Concern
358,Limosa fedoa,Yosemite National Park,131,Bird,Species of Concern
359,Tipularia discolor,Bryce National Park,57,Vascular Plant,
360,Arenaria aculeata,Great Smoky Mountains National Park,68,Vascular Plant,
361,Juncus diffusissimus,Yellowstone National Park,245,Vascular Plant,
362,Antennaria argentea,Yellowstone National Park,249,Vascular Plant,
363,Panicum gattingeri,Great Smoky Mountains National Park,94,Vascular Plant,
364,Nycticeius humeralis,Yellowstone National Park,219,Mammal,
365,Zonotrichia leucophrys,Yosemite National Park,123,Bird,
366,Rhododendron maximum,Yellowstone National Park,238,Vascular Plant,
367,Oxalis montana,Yosemite National Park,161,Vascular Plant,
368,Salvelinus namaycush,Bryce National Park,76,Fish,
369,Bryum lisae var. cuspidatum,Yellowstone National Park,228,Nonvascular Plant,
370,Mimulus angustatus,Great Smoky Mountains National Park,52,Vascular Plant,
371,Thermopsis montana,Yellowstone National Park,261,Vascular Plant,
372,Hypericum mitchellianum,Yellowstone National Park,276,Vascular Plant,
373,Senecio fremontii var. fremontii,Yosemite National Park,114,Vascular Plant,
374,Rudbeckia laciniata var. humilis,Yosemite National Park,152,Vascular Plant,
375,Nucifraga columbiana,Bryce National Park,117,Bird,
376,Contopus cooperi,Bryce National Park,130,Bird,Species of Concern
377,Carex tahoensis,Bryce National Park,124,Vascular Plant,
378,Bryoandersonia illecebra,Bryce National Park,93,Nonvascular Plant,
379,Polygonatum biflorum var. biflorum,Bryce National Park,67,Vascular Plant,
380,Dodecatheon jeffreyi,Bryce National Park,118,Vascular Plant,
381,Leersia virginica,Great Smoky Mountains National Park,61,Vascular Plant,
382,Polygonum douglasii ssp. douglasii,Great Smoky Mountains National Park,58,Vascular Plant,
383,Montia chamissoi,Great Smoky Mountains National Park,86,Vascular Plant,
384,Hedysarum sulphurescens,Great Smoky Mountains National Park,102,Vascular Plant,
385,Lysimachia ciliata,Yosemite National Park,141,Vascular Plant,
386,Turdus migratorius,Great Smoky Mountains National Park,69,Bird,
387,Urocitellus beldingi,Yosemite National Park,157,Mammal,
388,Trifolium cyathiferum,Bryce National Park,128,Vascular Plant,
389,Carex davyi,Yellowstone National Park,201,Vascular Plant,
390,Mirabilis linearis,Yellowstone National Park,265,Vascular Plant,
391,Viburnum rafinesquianum,Yellowstone National Park,273,Vascular Plant,
392,Plethodon aureolus,Bryce National Park,90,Amphibian,
393,Astragalus crassicarpus var. paysonii,Great Smoky Mountains National Park,45,Vascular Plant,
394,Cinna arundinacea,Great Smoky Mountains National Park,70,Vascular Plant,
395,Bidens vulgata,Bryce National Park,102,Vascular Plant,
396,Hymenocallis caroliniana,Bryce National Park,90,Vascular Plant,
397,Danthonia unispicata,Great Smoky Mountains National Park,74,Vascular Plant,
398,Collinsonia verticillata,Yellowstone National Park,223,Vascular Plant,
399,Microseris nutans,Great Smoky Mountains National Park,79,Vascular Plant,
400,Rana pipiens,Yosemite National Park,136,Amphibian,
401,Salix eriocephala,Yosemite National Park,155,Vascular Plant,
402,Chaenactis douglasii var. douglasii,Yosemite National Park,131,Vascular Plant,
403,Eupatorium pilosum,Great Smoky Mountains National Park,66,Vascular Plant,
404,Carex tompkinsii,Yosemite National Park,149,Vascular Plant,
405,Descurainia sophia,Great Smoky Mountains National Park,61,Vascular Plant,
