,category,scientific_name,common_names,conservation_status
296,Bird,Cistothorus platensis,Sedge Wren,
297,Bird,Thryomanes bewickii,Bewick's Wren,
298,Bird,Thryomanes bewickii altus,Appalachian Bewick's Wren,Species of Concern
299,Bird,Thryothorus ludovicianus,Carolina Wren,
300,Bird,Troglodytes aedon,House Wren,
301,Bird,Troglodytes troglodytes,Winter Wren,
302,Bird,Catharus fuscescens,Veery,
303,Bird,Catharus guttatus,Hermit Thrush,
304,Bird,Catharus minimus,Gray-Cheeked Thrush,
305,Bird,Catharus ustulatus,Swainson's Thrush,
306,Bird,Hylocichla mustelina,Wood Thrush,
307,Bird,Sialia sialis,Eastern Bluebird,
308,Bird,Turdus migratorius,American Robin,
309,Bird,Contopus borealis,Olive-Sided Flycatcher,
310,Bird,Contopus cooperi,Olive-Sided Flycatcher,Species of Concern
311,Bird,Contopus virens,Eastern Wood-Pewee,
312,Bird,Empidonax alnorum,Alder Flycatcher,
313,Bird,Empidonax flaviventris,Yellow-Bellied Flycatcher,
314,Bird,Empidonax minimus,Least Flycatcher,
315,Bird,Empidonax traillii,Willow Flycatcher,Species of Concern
316,Bird,Empidonax virescens,Acadian Flycatcher,
317,Bird,Myiarchus crinitus,Great Crested Flycatcher,
318,Bird,Sayornis phoebe,Eastern Phoebe,
319,Bird,Tyrannus forficata,Scissor-Tailed Flycatcher,
320,Bird,Tyrannus forficatus,Scissor-Tailed Flycatcher,
321,Bird,Tyrannus tyrannus,Eastern Kingbird,
322,Bird,Tyrannus verticalis,Western Kingbird,
323,Bird,Vireo flavifrons,Yellow-Throated Vireo,
324,Bird,Vireo gilvus,Warbling Vireo,
325,Bird,Vireo griseus,White-Eyed Vireo,
326,Bird,Vireo olivaceus,Red-Eyed Vireo,
327,Bird,Vireo philadelphicus,Philadelphia Vireo,
329,Bird,Ardea alba,Great Egret,
330,Bird,Ardea albus,Great Egret,
331,Bird,Ardea herodias,Great Blue Heron,Species of Concern
332,Bird,Botaurus lentiginosus,American Bittern,Species of Concern
334,Bird,Egretta caerulea,Little Blue Heron,
335,Bird,Ixobrychus exilis,Least Bittern,
336,Bird,Nyctanassa violacea,Yellow-Crowned Night-Heron,
338,Bird,Pelecanus erythrorhynchos,American White Pelican,Species of Concern
339,Bird,Colaptes auratus,Northern Flicker,
340,Bird,Dryocopus pileatus,Pileated Woodpecker,Species of Concern
341,Bird,Melanerpes carolinus,Red-Bellied Woodpecker,
342,Bird,Melanerpes erythrocephalus,Red-Headed Woodpecker,
343,Bird,Picoides borealis,Red-Cockaded Woodpecker,Endangered
344,Bird,Picoides pubescens,Downy Woodpecker,Species of Concern
345,Bird,Picoides villosus,Hairy Woodpecker,
346,Bird,Sphyrapicus varius,Yellow-Bellied Sapsucker,Species of Concern
347,Bird,Podiceps auritus,Horned Grebe,
348,Bird,Podilymbus podiceps,Pied-Billed Grebe,
349,Bird,Oceanodroma castro,Band-Rumped Storm-Petrel,
350,Bird,Aegolius,Saw-Whet Owls,
351,Bird,Aegolius acadicus,Northern Saw-Whet Owl,
352,Bird,Asio flammeus,Short-Eared Owl,Species of Concern
353,Bird,Asio otus,Long-Eared Owl,Species of Concern
354,Bird,Bubo virginianus,Great Horned Owl,
356,Bird,Otus asio,Eastern Screech-Owl,
357,Bird,Strix varia,Barred Owl,
359,Bird,Tytonidae,Barn-Owls,
360,Bird,Phalacrocorax auritus,Double-Crested Cormorant,Species of Concern
361,Reptile,Ophisaurus attenuatus longicaudus,Eastern Slender Glass Lizard,
362,Reptile,Carphophis,"Worm Snakes, Wormsnakes",
363,Reptile,Carphophis amoenus amoenus,Eastern Worm Snake,
364,Reptile,Carphophis amoenus helenae,Midwest Worm Snake,
365,Reptile,Cemophora coccinea copei,Northern Scarlet Snake,
366,Reptile,Coluber constrictor constrictor,Northern Black Racer,
367,Reptile,Diadophis punctatus edwardsii,Northern Ringneck Snake,
368,Reptile,Elaphe guttata guttata,Corn Snake,
369,Reptile,Elaphe obsoleta obsoleta,Black Rat Snake,
370,Reptile,Heterodon platirhinos,Eastern Hognose Snake,
371,Reptile,Lampropeltis,"Kingsnakes, Milk Snakes",
372,Reptile,Lampropeltis calligaster rhombomaculata,Mole Kingsnake,
373,Reptile,Lampropeltis getula getula,Eastern Kingsnake,
374,Reptile,Lampropeltis getula nigra,Black Kingsnake,
375,Reptile,Lampropeltis triangulum elapsoides,Scarlet Kingsnake,
376,Reptile,Lampropeltis triangulum triangulum,Eastern Milk Snake,
377,Reptile,Nerodia erythrogaster,Plainbelly Water Snake,
378,Reptile,Nerodia erythrogaster flavigaster,"Yellowbelly Water Snake, Yellowbelly Watersnake",
379,Reptile,Nerodia sipedon sipedon,Northern Water Snake,
380,Reptile,Opheodrys aestivus aestivus,Eastern Rough Green Snake,
381,Reptile,Pituophis melanoleucus melanoleucus,Northern Pine Snake,Species of Concern
382,Reptile,Regina septemvittata,Queen Snake,Species of Concern
383,Reptile,Storeria dekayi dekayi,Northern Brown Snake,
384,Reptile,Storeria dekayi wrightorum,Midland Brown Snake,
385,Reptile,Storeria occipitomaculata occipitomaculata,Northern Redbelly Snake,
386,Reptile,Tantilla coronata,Southeastern Crowned Snake,
387,Reptile,Thamnophis sirtalis sirtalis,Common Garter Snake,
388,Reptile,Virginia valeriae valeriae,Eastern Earth Snake,
389,Reptile,Anolis carolinensis carolinensis,Northern Green Anole,
390,Reptile,Sceloporus undulatus hyacinthinus,Northern Fence Lizard,
391,Reptile,Eumeces anthracinus,Coal Skink,
392,Reptile,Eumeces fasciatus,Five-Lined Skink,
393,Reptile,Eumeces inexpectatus,Southeastern Five-Lined Skink,
394,Reptile,Eumeces laticeps,Broadhead Skink,
395,Reptile,Scincella lateralis,Ground Skink,
396,Reptile,Cnemidophorus sexlineatus sexlineatus,Eastern Six-Lined Racerunner,
397,Reptile,Agkistrodon contortrix mokasen,Northern Copperhead,
398,Reptile,Crotalus horridus,Timber Rattlesnake,
399,Reptile,Chelydra serpentina serpentina,Common Snapping Turtle,
400,Reptile,Chrysemys picta marginata,Midland Painted Turtle,
401,Reptile,Chrysemys picta picta,Eastern Painted Turtle,
402,Reptile,Clemmys muhlenbergii,Bog Turtle,
403,Reptile,Graptemys geographica,"Common Map Turtle, Map Turtle",
404,Reptile,Graptemys ouachitensis,Ouachita Map Turtle,
405,Reptile,Terrapene carolina carolina,Eastern Box Turtle,
406,Reptile,Trachemys scripta,Slider,
407,Reptile,Trachemys scripta troostii,Cumberland Slider,
408,Reptile,Sternotherus minor peltifer,"Stripeneck Musk Turtle, Stripe-Necked Musk Turtle",
409,Reptile,Sternotherus odoratus,Common Musk Turtle,
410,Reptile,Apalone spinifera spinifera,"Eastern Spiny Softshell, Northern Spiny Softshell Turtle",
411,Amphibian,Bufo americanus americanus,Eastern American Toad,
412,Amphibian,Bufo fowleri,"Fowler's Toad, Woodhouse's Toad",
413,Amphibian,Acris crepitans crepitans,Northern Cricket Frog,
414,Amphibian,Hyla chrysoscelis,Cope's Gray Treefrog,
415,Amphibian,Hyla versicolor,Gray Treefrog,
416,Amphibian,Pseudacris brachyphona,Mountain Chorus Frog,
417,Amphibian,Pseudacris crucifer crucifer,Northern Spring Peeper,
418,Amphibian,Pseudacris feriarum feriarum,Upland Chorus Frog,
419,Amphibian,Pseudacris triseriata,"Striped Chorus Frog, Western Chorus Frog",
420,Amphibian,Gastrophryne carolinensis,Eastern Narrow-Mouthed Toad,
422,Amphibian,Rana clamitans melanota,Northern Green Frog,
423,Amphibian,Rana palustris,Pickerel Frog,
424,Amphibian,Rana pipiens,Northern Leopard Frog,
425,Amphibian,Rana sphenocephala,Southern Leopard Frog,
426,Amphibian,Rana sylvatica,Wood Frog,
427,Amphibian,Scaphiopus holbrookii holbrookii,Eastern Spadefoot,
428,Amphibian,Ambystoma maculatum,Spotted Salamander,
429,Amphibian,Ambystoma opacum,Marbled Salamander,
430,Amphibian,Ambystoma talpoideum,Mole Salamander,
431,Amphibian,Cryptobranchus alleganiensis alleganiensis,Eastern Hellbender,Species of Concern
432,Amphibian,Desmognathus conanti,Spotted Dusky Salamander,
433,Amphibian,Desmognathus imitator,Imitator Salamander,
434,Amphibian,Desmognathus marmoratus,Shovel-Nosed Salamander,
435,Amphibian,Desmognathus monticola,Seal Salamander,
436,Amphibian,Desmognathus ocoee,Ocoee Salamander,
437,Amphibian,Desmognathus quadramaculatus,Black-Bellied Salamander,
438,Amphibian,Desmognathus santeetlah,"Santeetlah Dusky Salamander, Santleetlah Dusky Salamander, Yellow Dusky Salamander",
439,Amphibian,Desmognathus wrighti,Pigmy Salamander,Species of Concern
440,Amphibian,Eurycea,Brook Salamanders,
441,Amphibian,Eurycea bislineata,"Northern Two-Lined Salamander, Two-Lined Salamander",
442,Amphibian,Eurycea cirrigera,Southern Two-Lined Salamander,
443,Amphibian,Eurycea guttolineata,Three-Lined Salamander,
444,Amphibian,Eurycea junaluska,Junaluska Salamander,
445,Amphibian,Eurycea longicauda longicauda,Longtail Salamander,
446,Amphibian,Eurycea lucifuga,Cave Salamander,
447,Amphibian,Eurycea wilderae,Blue Ridge Two-Lined Salamander,
448,Amphibian,Gyrinophilus porphyriticus,Spring Salamander,
449,Amphibian,Hemidactylium scutatum,Four-Toed Salamander,
450,Amphibian,Plethodon,Woodland Salamanders,
451,Amphibian,Plethodon aureolus,Tellico Salamander,
452,Amphibian,Plethodon cinereus,"Eastern Red-Backed Salamander, Redback Salamander",
453,Amphibian,Plethodon dorsalis,Northern Zigzag Salamander,
454,Amphibian,Plethodon glutinosus,Snorthern Slimy Salamander,
455,Amphibian,Plethodon jordani,"Appalachian Salamander, Jordan's Salamander",
456,Amphibian,Plethodon metcalfi,Southern Gray-Cheeked Salamander,
457,Amphibian,Plethodon oconaluftee,Southern Appalachian Salamander,
458,Amphibian,Plethodon serratus,Southern Red-Backed Salamander,
459,Amphibian,Plethodon ventralis,Southern Zigzag Salamander,
460,Amphibian,Plethodon websteri,Webster's Salamander,
461,Amphibian,Pseudotriton,"Mud Salamanders, Red Salamanders, Red Salamanders &Amp; Mud Salamanders",
462,Amphibian,Pseudotriton montanus,Mud Salamander,
463,Amphibian,Pseudotriton montanus diastictus,Midland Mud Salamander,
464,Amphibian,Pseudotriton montanus montanus,Eastern Mud Salamander,
465,Amphibian,Pseudotriton ruber nitidus,Blue Ridge Red Salamander,
466,Amphibian,Pseudotriton ruber ruber,Northern Red Salamander,
467,Amphibian,Pseudotriton ruber schencki,Blackchin Red Salamander,
468,Amphibian,Necturus maculosus maculosus,Mudpuppy,
469,Amphibian,Notophthalmus viridescens viridescens,Eastern Red-Spotted Newt,
470,Fish,Labidesthes sicculus,Brook Silverside,
471,Fish,Dorosoma cepedianum,Gizzard Shad,
472,Fish,Catostomus commersoni,White Sucker,
473,Fish,Hypentelium nigricans,Northern Hog Sucker,
474,Fish,Moxostoma carinatum,River Redhorse,
475,Fish,Moxostoma duquesnei,Black Redhorse,
476,Fish,Moxostoma erythrurum,Golden Redhorse,
477,Fish,Moxostoma macrolepidotum,Shorthead Redhorse,
478,Fish,Campostoma anomalum,Central Stoneroller,
479,Fish,Campostoma oligolepis,Largescale Stoneroller,
480,Fish,Carassius auratus,Goldfish,
481,Fish,Clinostomus funduloides,Rosyside Dace,
482,Fish,Clinostomus sp. 1,Smoky Dace,
483,Fish,Cyprinella galactura,Whitetail Shiner,
484,Fish,Cyprinella galacturus,Whitetail Shiner,
485,Fish,Cyprinella spiloptera,Spotfin Shiner,
486,Fish,Cyprinella spilopterus,Spotfin Shiner,
487,Fish,Cyprinella venusta,Blacktail Shiner,
488,Fish,Cyprinella venustus,Blacktail Shiner,
489,Fish,Cyprinus carpio,Common Carp,
490,Fish,Erimonax monachus,Spotfin Chub,Threatened
491,Fish,Hemitremia flammea,Flame Chub,Species of Concern
492,Fish,Hybopsis amblops,Bigeye Chub,
493,Fish,Luxilus chrysocephalus,Striped Shiner,
494,Fish,Luxilus coccogenis,Warpaint Shiner,
495,Fish,Luxilus cornutus,Common Shiner,
496,Fish,Lythrurus lirus,Mountain Shiner,
497,Fish,Nocomis micropogon,River Chub,
498,Fish,Notropis atherinoides,Emerald Shiner,
499,Fish,Notropis baileyi,Rough Shiner,
500,Fish,Notropis leuciodus,Tennessee Shiner,
501,Fish,Notropis photogenis,Silver Shiner,
502,Fish,Notropis rubellus,Rosyface Shiner,
503,Fish,Notropis rubricroceus,Saffron Shiner,
504,Fish,Notropis spectrunculus,Mirror Shiner,
505,Fish,Notropis telescopus,Telescope Shiner,
506,Fish,Notropis volucellus,Mimic Shiner,
507,Fish,Phenacobius catostomus,Riffle Minnow,
508,Fish,Phenacobius crassilabrum,Fatlips Minnow,
509,Fish,Phenacobius uranops,Stargazing Minnow,
510,Fish,Phoxinus oreas,Mountain Redbelly Dace,
511,Fish,Phoxinus tennesseensis,Tennessee Dace,
512,Fish,Rhinichthys cataractae,Longnose Dace,
